f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,labels
49.851979166666666,60.42066480655631,48.162708333333335,59.64866218950986,47.352291666666666,58.87169713805549,278.0,1.0,0.0,2.0,42.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7984909862780483,5.8109820023914285,10.358934318691182,9.714369136665804,20.400486394394736,12.621348545880117,-19.762214437596928,489.5280462184874,0.3316740869180628,0.07881581886101838,0.9310640401568319,0.0
65.94552083333333,70.33694242373917,56.4240625,47.03527337891667,64.38510416666666,49.54523529678862,106.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,146.0,6.0,2.0,3.0,10.0,2.0,10.0,27.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.551070026983772,6.740938203198336,8.387171484442616,8.122436515644338,-16.42033003245457,-11.605125655354621,16.74962046817319,391.99611344537817,0.24828998535581154,0.027492126740131094,0.9165491672873596,0.0
111.2903125,58.90637513166418,84.76583333333333,55.11459991967243,69.0184375,53.42237333326359,127.0,0.0,0.0,0.0,54.0,0.0,1.0,1.0,26.0,23.0,9.0,24.0,14.0,9.0,23.0,13.0,2.0,3.0,1.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.487650969703196,5.323312930636631,8.498350021212163,9.572768123289606,-18.614345066112733,12.466073362338275,-19.3899849182088,687.1400210084034,0.19543556526375017,0.02478234822530914,0.8824367179689394,0.0
112.68322916666666,54.71072002273243,78.975,54.80254518116228,61.9746875,52.414711326535134,120.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,75.0,17.0,11.0,42.0,17.0,6.0,19.0,32.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.737224908870223,6.18717416227414,8.371584525919099,9.713955210766269,19.737769450241885,-13.404577353548497,-18.75910765074064,407.7781512605042,0.3054152524988458,0.03666462969906507,0.9289478052442173,0.0
120.94520833333333,47.836737516333585,101.04114583333333,47.411380871970664,77.72020833333333,47.46632630918398,209.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,21.0,1.0,0.0,4.0,0.0,0.0,4.0,35.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75880572650544,6.674278540949898,8.523219132238768,10.211819366052229,19.761423291054307,13.62178641458768,19.70229646044137,396.666281512605,0.25960056227046996,0.030844815121369717,0.9098863297616637,0.0
103.12927083333334,54.74804084669742,110.30104166666666,60.28732763952081,109.06447916666667,60.83103912973814,100.0,0.0,2.0,0.0,72.0,6.0,3.0,0.0,83.0,11.0,4.0,10.0,12.0,8.0,6.0,38.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9214379108271276,6.214448487297258,10.266075756787457,10.519338150387933,21.029920009088233,13.626664375255496,-21.100989448217803,707.5836134453782,0.22886063368429665,0.02186237050553251,0.9002245234210053,0.0
120.39916666666667,57.69833222002368,116.78041666666667,57.594338478937225,107.94166666666666,58.17392504856068,163.0,3.0,1.0,1.0,52.0,0.0,0.0,0.0,10.0,5.0,3.0,0.0,16.0,8.0,4.0,47.0,8.0,14.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.977402174574809,6.468123186640695,9.808421707230348,11.72740718823258,22.496131720432917,15.05089857619776,23.70983855716755,651.0691176470589,0.2053717598220659,0.022348537665706332,0.9013762628535018,0.0
73.62791666666666,56.752535661352226,61.297916666666666,43.230137489098844,61.8121875,46.29530930844769,123.0,1.0,0.0,0.0,114.0,4.0,1.0,0.0,99.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5313058296826174,5.851041857382388,9.097866379086183,8.462214971454928,-17.780168757708054,11.50341146791212,17.261303072828728,679.4533613445378,0.18691446159870587,0.023045174746364142,0.8258645004404799,0.0
68.53864583333333,57.74743109581787,65.74260416666667,54.4514778025811,57.31260416666667,44.7521820637644,85.0,0.0,0.0,0.0,79.0,6.0,2.0,0.0,138.0,3.0,12.0,1.0,8.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7649705451412414,6.1806440564288,9.310151280510832,9.545330673095904,-19.64420646979515,12.700046202481662,18.983176987450157,582.994537815126,0.19095031935714435,0.022923239209166956,0.8848980079000732,0.0
87.63354166666667,60.25476191381002,83.02989583333333,56.666015700822086,84.1128125,56.3417463121841,139.0,2.0,0.0,0.0,68.0,2.0,2.0,2.0,74.0,2.0,1.0,0.0,4.0,0.0,24.0,15.0,1.0,0.0,2.0,16.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64151544502874,6.522642718733007,8.321661297836538,9.55073987685748,18.75715616181469,13.010515107698547,-18.560736096704765,904.3012605042018,0.2610432496471596,0.03205003899602803,0.8594654441608999,0.0
